GEOID,pop_total,pop_white,housing_total,housing_owned,housing_rental
11001007703,7730,16,2170,692,1478
11001007707,4557,105,1613,684,929
11001007708,2875,0,1006,132,874
11001007709,2157,35,1049,188,861
11001007803,4293,166,1869,706,1163
11001007804,4352,77,1288,433,855
11001007806,2548,95,1017,427,590
11001007807,2336,21,753,313,440
11001007808,4322,18,1497,911,586
11001007809,3112,1,995,610,385
11001007901,5030,1037,1580,672,908
11001007903,2031,481,746,523,223
11001008001,3226,2246,1376,1139,237
11001008002,3527,2855,1402,857,545
11001008100,3438,2961,1523,693,830
11001008200,3234,2648,1364,659,705
11001008301,2746,2207,1241,645,596
11001008302,2831,2170,1095,532,563
11001008402,2375,1629,1154,571,583
11001008410,1737,1069,669,494,175
11001008701,2738,1178,972,641,331
11001008702,3409,1470,1729,457,1272
11001008802,4496,1149,1623,666,957
11001008803,3376,867,927,120,807
11001008804,2733,345,1347,532,815
11001008903,3321,397,1494,223,1271
11001008904,4541,510,1829,257,1572
11001009000,3780,396,2182,1133,1049
11001009102,4723,678,1835,673,1162
11001009201,3272,1788,1104,413,691
11001009203,3229,722,1354,614,740
11001009204,3265,319,1343,254,1089
11001009301,3701,1888,1375,1124,251
11001009302,1678,511,701,365,336
11001009400,5644,1246,1705,1452,253
11001009503,3110,696,1065,957,108
11001009504,3113,890,1174,792,382
11001009505,3907,424,1479,870,609
11001009507,1889,67,587,508,79
11001009508,4098,283,1481,488,993
11001009509,3575,369,1246,1136,110
11001009510,5272,286,1650,367,1283
11001009511,2156,1632,0,0,0
11001009601,2521,68,851,284,567
11001009602,4038,72,1830,212,1618
11001009603,4310,12,1721,593,1128
11001009604,2496,86,833,569,264
11001009700,3279,77,1636,690,946
11001009801,2056,33,1012,160,852
11001009802,2080,72,933,274,659
11001009803,3153,47,1358,233,1125
11001009804,2661,41,950,252,698
11001009807,3514,109,1546,450,1096
11001009810,2750,111,1335,55,1280
11001009811,4437,41,1694,233,1461
11001009901,2486,210,925,765,160
11001009902,3495,86,1242,999,243
11001009903,2559,196,623,471,152
11001009904,3208,74,1089,382,707
11001009905,2773,40,1150,494,656
11001009906,1737,98,849,327,522
11001009907,2942,12,990,209,781
11001010100,2773,1816,1709,530,1179
11001010201,2297,1352,1556,196,1360
11001010202,1707,1024,870,511,359
11001010300,4272,880,1374,665,709
11001010400,4995,468,2168,1058,1110
11001010500,3927,2283,2153,768,1385
11001010601,1862,901,1044,0,1044
11001010602,5262,2996,2282,839,1443
11001010603,1864,1501,1038,0,1038
11001010700,1772,1351,1205,381,824
11001010800,6351,4444,741,52,689
11001010900,3400,53,1146,69,1077
11001011001,2345,1445,1395,612,783
11001011002,1760,1247,1205,812,393
11001011100,5227,782,1647,1097,550
11001980000,13,13,3,0,3
11001000101,1250,1178,756,355,401
11001000102,3318,2868,1762,1089,673
11001000201,3972,2485,0,0,0
11001000202,4665,3921,1727,1328,399
11001000300,6504,5586,2377,1353,1024
11001000400,1481,1029,578,376,202
11001000501,3343,2417,1978,247,1731
11001000502,3580,2894,1641,953,688
11001000600,4942,3984,2105,1509,596
11001000702,2971,2203,2154,500,1654
11001000703,3345,2469,2045,1368,677
11001000704,2896,2184,1369,528,841
11001000802,3487,2820,1413,885,528
11001000803,2523,1800,1239,970,269
11001000804,3948,3260,1235,1014,221
11001000902,2372,2101,809,741,68
11001000903,4149,3321,322,277,45
11001000904,3232,2646,1170,969,201
11001001002,3489,2710,1800,682,1118
11001001003,2987,2642,1139,1139,0
11001001004,4605,3783,1631,1125,506
11001001100,4782,3506,1995,1195,800
11001001200,5135,3839,2414,1370,1044
11001001301,4567,3247,1977,608,1369
11001001303,3433,2335,2048,761,1287
11001001304,4200,3275,2849,790,2059
11001001401,3641,2439,1304,826,478
11001001402,3476,2564,1555,876,679
11001001500,6016,4599,2024,1911,113
11001001600,5014,1310,1569,1415,154
11001001702,3667,1659,1584,920,664
11001001803,4161,523,1623,216,1407
11001001804,5803,471,1879,530,1349
11001001901,4220,1052,1498,1150,348
11001001902,2460,671,780,669,111
11001002001,3578,570,1181,340,841
11001002002,4440,1359,1372,1152,220
11001002101,5693,845,2143,1070,1073
11001002102,5607,782,2132,1266,866
11001002201,3557,1080,871,793,78
11001002202,3223,775,1152,560,592
11001002301,3439,886,1195,968,227
11001002302,1624,607,814,202,612
11001002400,4061,1852,1357,876,481
11001002501,3392,1019,971,478,493
11001002503,3158,1063,1512,472,1040
11001002600,2746,1073,863,617,246
11001002702,6055,3892,2205,999,1206
11001002703,2567,1508,1124,504,620
11001002704,4084,1541,1623,275,1348
11001002801,4104,1727,1705,336,1369
11001002802,5063,2177,2520,523,1997
11001002900,4450,2228,1486,877,609
11001003000,4211,1914,1454,471,983
11001003100,3825,1820,1591,911,680
11001003200,5201,1410,1508,902,606
11001003301,4195,2229,1756,1335,421
11001003302,2195,1015,821,466,355
11001003400,5014,1686,1012,474,538
11001003500,4852,1397,1288,371,917
11001003600,4858,2624,1967,619,1348
11001003701,2302,1640,1490,397,1093
11001003702,2518,749,1168,247,921
11001003801,1677,1286,1048,477,571
11001003802,3221,1857,1785,542,1243
11001003901,2561,1617,1682,237,1445
11001003902,2274,1754,1203,558,645
11001004001,4785,4126,2362,979,1383
11001004002,3436,2780,2079,785,1294
11001004100,2466,1786,1207,633,574
11001004201,3872,3451,1889,633,1256
11001004202,2601,1936,1466,392,1074
11001004300,4054,2731,2299,750,1549
11001004401,3522,2221,1678,822,856
11001004402,2517,1286,929,505,424
11001004600,3169,1517,1425,756,669
11001004702,3727,2408,2046,284,1762
11001004703,2947,1305,1684,307,1377
11001004704,1852,2,796,108,688
11001004801,3138,1732,1227,456,771
11001004802,3447,1325,1620,364,1256
11001004901,3496,1988,1823,399,1424
11001004902,3533,1865,1840,697,1143
11001002504,3867,1575,1331,649,682
11001005001,2006,1464,1028,524,504
11001005003,1617,1140,928,326,602
11001005004,4115,2056,2159,626,1533
11001005202,2793,2386,1955,892,1063
11001005203,3044,1598,2318,292,2026
11001005302,2558,2017,1657,511,1146
11001005303,2723,2107,2009,1057,952
11001005501,1700,1554,1134,580,554
11001005502,2652,2189,1510,466,1044
11001005503,2256,1895,1394,725,669
11001005601,2388,1690,1609,337,1272
11001005602,4178,2886,1641,815,826
11001005801,1992,1345,1212,509,703
11001005802,1799,1328,1302,386,916
11001005900,2437,1599,1231,156,1075
11001006400,2602,494,1163,218,945
11001006500,2939,2312,1325,839,486
11001006600,1986,1786,1023,591,432
11001006700,4498,3575,2063,1384,679
11001006801,2528,1281,991,620,371
11001006802,2530,1487,922,555,367
11001006804,2999,420,45,45,0
11001006900,2601,1997,1128,711,417
11001007000,2794,2227,1093,616,477
11001007100,3635,1121,1247,556,691
11001007201,1473,1060,1114,85,1029
11001007202,3180,2740,1833,107,1726
11001007203,2514,1534,1261,350,911
11001007301,5031,3331,1396,0,1396
11001007304,4323,188,1733,481,1252
11001007401,1525,80,710,146,564
11001007403,2709,0,870,48,822
11001007404,4134,155,1171,388,783
11001007406,4201,3,1181,126,1055
11001007407,3359,86,1343,533,810
11001007408,3128,79,1028,98,930
11001007409,4377,9,1664,358,1306
11001007502,5615,44,1670,341,1329
11001007503,2716,234,806,314,492
11001007504,2741,16,1136,344,792
11001007601,5316,515,2034,945,1089
11001007603,4099,120,2036,973,1063
11001007604,4380,196,1725,587,1138
11001007605,4170,166,1748,443,1305
